,id,contaminant,average_result,max_result,health_limit_exceeded,legal_limit_exceeded,zipcode,locations_served,supplier_name,violation,date_of_violation,number_of_people_served,health_limit_flag,legal_limit_flag
0,8,Alpha particle activity (excl radon and uranium),1.1 pCi/L,1.1 pCi/L,. Source,15 pCi,57221,"ESTELLINE, SD",Estelline,"Over maximum contaminant level, AverageNitrate",2004/07/01 - 2004/07/31,675,Yes,No
1,9,Alpha particle activity (excl radon and uranium),4.8 pCi/L,4.8 pCi/L,. Source,15 pCi,57221,"LAKE NORDEN, SD",Lake Norden,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2004/01/01 - 2004/03/31,432,Yes,No
2,18,Manganese,212.36 ppb,768 ppb,50 ppb,50 ppb,2026,"FRANKLIN, MA",Franklin Water Dept,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2006/01/01 - 2006/03/31,28802,Yes,Yes
3,21,Total trihalomethanes (TTHMs),19.39 ppb,40.31 ppb,9.8 ppb,80 ppb,2026,"WELLESLEY, MA",Wellesley Water Dept.,"Failure to monitor, Routine Major (Coliform bacteria)",2008/05/01 - 2008/05/31,24235,Yes,No
4,30,Gross beta particle activity (pCi/L),17 pCi/L,17 pCi/L,,15 pCi,2026,"WRENTHAM, MA",Wrentham Water Division,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/09/01 - 2005/09/30,8652,Yes,Yes
5,46,Chromium (total),0.55 ppb,1.1 ppb,100 ppb,100 ppb,2026,"DOVER, MA",Old Farm Road Water Trust,Optimal Corrosion Control Treatment Installation/Demonstration,2005/06/10 - 2007/07/12,35,No,No
6,47,Total haloacetic acids (HAAs),5.74 ppb,10.3 ppb,0.7 ppb,60 ppb,46770,"HUNTINGTON, IN",Huntington Water Department,Inadequate reporting of information to the public,2006/09/07 - 2006/10/03,17200,Yes,No
7,39,Radium-226,0.37 pCi/L,0.41 pCi/L,. Source,5 pCi,2026,"DOVER, MA",Dover Water Company Vnd,Follow-up and Routine Tap Sampling,2006/10/01 - 2007/09/01,1962,Yes,No
8,43,Tetrachloroethylene,0.2 ppb,0.6 ppb,. Source,5 ppb,2026,"STOUGHTON, MA",Copperwood II Condominiums,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/06/01 - 2006/06/30,75,Yes,No
9,45,Radium-228,3.89 pCi/L,7.3 pCi/L,. Source,5 pCi,2026,"WRENTHAM, MA",Mount ST Marys Abbey,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/10/01 - 2007/10/31,60,Yes,Yes
10,52,Total haloacetic acids (HAAs),4.78 ppb,8.6 ppb,0.7 ppb,60 ppb,46770,"HUNTINGTON, IN",Norwood Regional Water & Sewage,Monitoring and Reporting Disinfection Byproduct RuleTotal trihalomethanes (TTHMs),2005/01/01 - 2005/12/31,750,Yes,No
11,55,Radium-228,0.3 pCi/L,1 pCi/L,. Source,5 pCi,46770,"HUNTINGTON, IN",Goblesville Water,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2006/08/23,49,Yes,No
12,77,Arsenic (total),0.33 ppb,1 ppb,. Source,10 ppb,62012,"STAUNTON, IL",Staunton,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/10/01 - 2004/12/31,5281,Yes,No
13,62,Total haloacetic acids (HAAs),3.11 ppb,4.8 ppb,0.7 ppb,60 ppb,43007,"MILFORD CENTER, OH","Milford Center, Village",Failure to monitor regularlyNitrate,2008/01/01 - 2008/12/31,668,Yes,No
14,95,Dichloroacetic acid,14.59 ppb,22.4 ppb,. Source,60 ppb,62012,"SAWYERVILLE, IL",Sawyerville,"Failure to monitor, Repeat Minor (Coliform bacteria)",2004/09/01 - 2004/09/30,570,Yes,No
15,97,Total trihalomethanes (TTHMs),44.64 ppb,99.3 ppb,9.8 ppb,80 ppb,62012,"WHITE CITY, IL",White City,Treatment Technique (Surface Water Treatment Rule),2006/01/01 - 2006/01/31,350,Yes,Yes
16,102,Total trihalomethanes (TTHMs),74.25 ppb,115.4 ppb,9.8 ppb,80 ppb,62012,"CHESTERFIELD, IL",Chesterfield,Initial Tap Sampling for Lead and Copper,2006/01/01 - 2006/12/13,180,Yes,Yes
17,103,Total haloacetic acids (HAAs),38.14 ppb,108.9 ppb,0.7 ppb,60 ppb,62012,"EAGERVILLE, IL",Eagerville,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2004/10/01 - 2004/12/31,127,Yes,Yes
18,110,Manganese,25.36 ppb,68 ppb,50 ppb,50 ppb,28365,"GOLDSBORO, NC",Wayne Water Districts,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2004/09/27 - 2025/12/31,45740,Yes,Yes
